starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:17:18 2016	1475263038	0	107	107	107
Fri Sep 30 21:17:03 2016	1475263023	0	109	109	109
Fri Sep 30 21:17:06 2016	1475263026	0	110	110	110
Fri Sep 30 21:17:06 2016	1475263026	0	112	112	112
Fri Sep 30 21:17:14 2016	1475263034	0	112	112	112
Fri Sep 30 21:17:10 2016	1475263030	0	112	112	112
Fri Sep 30 21:17:08 2016	1475263028	0	113	113	113
Fri Sep 30 21:17:05 2016	1475263025	0	113	113	113
Fri Sep 30 21:17:07 2016	1475263027	0	113	113	113
Fri Sep 30 21:17:02 2016	1475263022	0	114	114	113
Fri Sep 30 21:17:04 2016	1475263024	0	114	114	114
Fri Sep 30 21:17:10 2016	1475263030	0	114	114	114
Fri Sep 30 21:17:16 2016	1475263036	0	115	115	115
Fri Sep 30 21:17:03 2016	1475263023	0	115	115	115
Fri Sep 30 21:17:12 2016	1475263032	0	116	116	116
Fri Sep 30 21:17:07 2016	1475263027	0	116	116	115
Fri Sep 30 21:17:16 2016	1475263036	0	116	116	116
Fri Sep 30 21:17:03 2016	1475263023	0	116	116	116
Fri Sep 30 21:17:02 2016	1475263022	0	116	116	116
Fri Sep 30 21:17:05 2016	1475263025	0	117	117	117
Fri Sep 30 21:17:12 2016	1475263032	0	117	117	117
Fri Sep 30 21:17:12 2016	1475263032	0	117	117	117
Fri Sep 30 21:17:09 2016	1475263029	0	117	117	117
Fri Sep 30 21:17:04 2016	1475263024	0	118	118	118
Fri Sep 30 21:17:05 2016	1475263025	0	118	118	118
Fri Sep 30 21:17:18 2016	1475263038	0	118	118	118
Fri Sep 30 21:17:06 2016	1475263026	0	118	118	118
Fri Sep 30 21:17:06 2016	1475263026	0	118	118	118
Fri Sep 30 21:17:03 2016	1475263023	0	118	118	118
Fri Sep 30 21:17:06 2016	1475263026	0	118	118	118
Fri Sep 30 21:17:07 2016	1475263027	0	118	118	118
Fri Sep 30 21:17:03 2016	1475263023	0	118	118	118
Fri Sep 30 21:17:02 2016	1475263022	0	118	118	118
Fri Sep 30 21:17:08 2016	1475263028	0	119	119	118
Fri Sep 30 21:17:10 2016	1475263030	0	119	119	119
Fri Sep 30 21:17:09 2016	1475263029	0	119	119	119
Fri Sep 30 21:17:09 2016	1475263029	0	119	119	119
Fri Sep 30 21:17:12 2016	1475263032	0	119	119	119
Fri Sep 30 21:17:09 2016	1475263029	0	119	119	119
Fri Sep 30 21:17:04 2016	1475263024	0	120	120	120
Fri Sep 30 21:17:12 2016	1475263032	0	120	120	119
Fri Sep 30 21:17:09 2016	1475263029	0	120	120	120
Fri Sep 30 21:17:06 2016	1475263026	0	120	120	120
Fri Sep 30 21:17:08 2016	1475263028	0	120	120	120
Fri Sep 30 21:17:03 2016	1475263023	0	120	120	120
Fri Sep 30 21:17:10 2016	1475263030	0	120	120	120
Fri Sep 30 21:17:12 2016	1475263032	0	120	120	120
Fri Sep 30 21:17:12 2016	1475263032	0	121	121	120
Fri Sep 30 21:17:11 2016	1475263031	0	121	121	121
Fri Sep 30 21:17:14 2016	1475263034	0	121	121	121
Fri Sep 30 21:17:11 2016	1475263031	0	121	121	121
Fri Sep 30 21:17:05 2016	1475263025	0	121	121	121
Fri Sep 30 21:17:02 2016	1475263022	0	121	121	121
Fri Sep 30 21:17:05 2016	1475263025	0	121	121	121
Fri Sep 30 21:17:07 2016	1475263027	0	121	121	121
Fri Sep 30 21:17:12 2016	1475263032	0	122	122	121
Fri Sep 30 21:17:04 2016	1475263024	0	122	122	121
Fri Sep 30 21:17:12 2016	1475263032	0	122	122	122
Fri Sep 30 21:17:12 2016	1475263032	0	122	122	122
Fri Sep 30 21:17:10 2016	1475263030	0	122	122	122
Fri Sep 30 21:17:04 2016	1475263024	0	122	122	122
Fri Sep 30 21:17:03 2016	1475263023	0	123	123	122
Fri Sep 30 21:17:06 2016	1475263026	0	123	123	123
Fri Sep 30 21:17:09 2016	1475263029	0	123	123	122
Fri Sep 30 21:17:02 2016	1475263022	0	123	123	123
Fri Sep 30 21:17:16 2016	1475263036	0	123	123	123
Fri Sep 30 21:17:09 2016	1475263029	0	123	123	123
Fri Sep 30 21:17:05 2016	1475263025	0	123	123	123
Fri Sep 30 21:17:11 2016	1475263031	0	123	123	123
Fri Sep 30 21:17:11 2016	1475263031	0	123	124	123
Fri Sep 30 21:17:06 2016	1475263026	0	124	124	123
Fri Sep 30 21:17:11 2016	1475263031	0	124	124	123
Fri Sep 30 21:17:04 2016	1475263024	0	124	124	123
Fri Sep 30 21:17:11 2016	1475263031	0	124	124	124
Fri Sep 30 21:17:10 2016	1475263030	0	124	124	122
Fri Sep 30 21:17:02 2016	1475263022	0	124	124	124
Fri Sep 30 21:17:03 2016	1475263023	0	124	124	124
Fri Sep 30 21:17:07 2016	1475263027	0	124	124	124
Fri Sep 30 21:17:05 2016	1475263025	0	124	124	124
Fri Sep 30 21:17:02 2016	1475263022	0	124	124	124
Fri Sep 30 21:17:09 2016	1475263029	0	125	125	124
Fri Sep 30 21:17:04 2016	1475263024	0	125	125	124
Fri Sep 30 21:17:04 2016	1475263024	0	125	125	124
Fri Sep 30 21:17:11 2016	1475263031	0	125	125	124
Fri Sep 30 21:17:04 2016	1475263024	0	125	125	125
Fri Sep 30 21:17:03 2016	1475263023	0	125	125	125
Fri Sep 30 21:17:10 2016	1475263030	0	125	125	125
Fri Sep 30 21:17:04 2016	1475263024	0	125	125	125
Fri Sep 30 21:17:11 2016	1475263031	0	125	125	125
Fri Sep 30 21:17:05 2016	1475263025	0	125	125	125
Fri Sep 30 21:17:03 2016	1475263023	0	125	125	125
Fri Sep 30 21:17:14 2016	1475263034	0	126	126	125
Fri Sep 30 21:17:10 2016	1475263030	0	126	126	126
Fri Sep 30 21:17:02 2016	1475263022	0	126	126	126
Fri Sep 30 21:17:05 2016	1475263025	0	126	126	125
Fri Sep 30 21:17:08 2016	1475263028	0	126	126	126
Fri Sep 30 21:17:16 2016	1475263036	0	126	126	126
Fri Sep 30 21:17:12 2016	1475263032	0	126	126	126
Fri Sep 30 21:17:07 2016	1475263027	0	126	126	126
Fri Sep 30 21:17:06 2016	1475263026	0	126	126	126
Fri Sep 30 21:17:10 2016	1475263030	0	126	126	126
Fri Sep 30 21:17:09 2016	1475263029	0	126	126	126
Fri Sep 30 21:17:03 2016	1475263023	0	126	126	126
Fri Sep 30 21:17:06 2016	1475263026	0	126	126	126
Fri Sep 30 21:17:14 2016	1475263034	0	126	126	126
Fri Sep 30 21:17:06 2016	1475263026	0	127	127	126
Fri Sep 30 21:17:12 2016	1475263032	0	127	127	126
Fri Sep 30 21:17:12 2016	1475263032	0	127	127	127
Fri Sep 30 21:17:07 2016	1475263027	0	127	127	127
Fri Sep 30 21:17:09 2016	1475263029	0	127	127	127
Fri Sep 30 21:17:11 2016	1475263031	0	127	127	127
Fri Sep 30 21:17:04 2016	1475263024	0	127	127	127
Fri Sep 30 21:17:02 2016	1475263022	0	127	127	127
Fri Sep 30 21:17:08 2016	1475263028	0	127	127	127
Fri Sep 30 21:17:08 2016	1475263028	0	127	127	127
Fri Sep 30 21:17:06 2016	1475263026	0	127	127	127
Fri Sep 30 21:17:06 2016	1475263026	0	128	128	127
Fri Sep 30 21:17:11 2016	1475263031	0	128	128	127
Fri Sep 30 21:17:10 2016	1475263030	0	128	128	128
Fri Sep 30 21:17:03 2016	1475263023	0	128	128	128
Fri Sep 30 21:17:17 2016	1475263037	0	128	128	128
Fri Sep 30 21:17:02 2016	1475263022	0	128	128	128
Fri Sep 30 21:17:10 2016	1475263030	0	128	128	128
Fri Sep 30 21:17:12 2016	1475263032	0	128	128	128
Fri Sep 30 21:17:17 2016	1475263037	0	128	128	128
Fri Sep 30 21:17:05 2016	1475263025	0	128	128	128
Fri Sep 30 21:17:13 2016	1475263033	0	128	128	128
Fri Sep 30 21:17:07 2016	1475263027	0	128	128	128
Fri Sep 30 21:17:02 2016	1475263022	0	128	129	128
Fri Sep 30 21:17:08 2016	1475263028	0	128	129	128
Fri Sep 30 21:17:11 2016	1475263031	0	129	129	128
Fri Sep 30 21:17:02 2016	1475263022	0	129	129	128
Fri Sep 30 21:17:11 2016	1475263031	0	129	129	128
Fri Sep 30 21:17:18 2016	1475263038	0	129	129	128
Fri Sep 30 21:17:04 2016	1475263024	0	129	129	128
Fri Sep 30 21:17:05 2016	1475263025	0	129	129	129
Fri Sep 30 21:17:04 2016	1475263024	0	129	129	128
Fri Sep 30 21:17:12 2016	1475263032	0	129	129	129
Fri Sep 30 21:17:16 2016	1475263036	0	129	129	128
Fri Sep 30 21:17:10 2016	1475263030	0	129	129	129
Fri Sep 30 21:17:02 2016	1475263022	0	129	129	129
Fri Sep 30 21:17:10 2016	1475263030	0	129	129	128
Fri Sep 30 21:17:14 2016	1475263034	0	129	129	129
Fri Sep 30 21:17:09 2016	1475263029	0	129	129	129
Fri Sep 30 21:17:03 2016	1475263023	0	129	129	129
Fri Sep 30 21:17:04 2016	1475263024	0	129	129	129
Fri Sep 30 21:17:14 2016	1475263034	0	129	129	129
Fri Sep 30 21:17:03 2016	1475263023	0	129	129	129
Fri Sep 30 21:17:11 2016	1475263031	0	129	129	129
Fri Sep 30 21:17:11 2016	1475263031	0	129	129	129
Fri Sep 30 21:17:16 2016	1475263036	0	129	129	129
Fri Sep 30 21:17:07 2016	1475263027	0	129	129	129
Fri Sep 30 21:17:03 2016	1475263023	0	129	129	129
Fri Sep 30 21:17:04 2016	1475263024	0	129	129	129
Fri Sep 30 21:17:04 2016	1475263024	0	129	129	129
Fri Sep 30 21:17:02 2016	1475263022	0	129	129	129
Fri Sep 30 21:17:03 2016	1475263023	0	129	129	129
Fri Sep 30 21:17:05 2016	1475263025	0	129	129	129
Fri Sep 30 21:17:03 2016	1475263023	0	129	129	129
Fri Sep 30 21:17:09 2016	1475263029	0	129	129	129
Fri Sep 30 21:17:10 2016	1475263030	0	129	129	129
Fri Sep 30 21:17:12 2016	1475263032	0	130	130	129
Fri Sep 30 21:17:16 2016	1475263036	0	130	130	129
Fri Sep 30 21:17:08 2016	1475263028	0	130	130	130
Fri Sep 30 21:17:11 2016	1475263031	0	130	130	130
Fri Sep 30 21:17:04 2016	1475263024	0	130	130	130
Fri Sep 30 21:17:07 2016	1475263027	0	130	130	129
Fri Sep 30 21:17:14 2016	1475263034	0	130	130	130
Fri Sep 30 21:17:06 2016	1475263026	0	130	130	130
Fri Sep 30 21:17:06 2016	1475263026	0	130	130	130
Fri Sep 30 21:17:10 2016	1475263030	0	130	130	130
Fri Sep 30 21:17:06 2016	1475263026	0	130	130	130
Fri Sep 30 21:17:09 2016	1475263029	0	130	130	130
Fri Sep 30 21:17:11 2016	1475263031	0	130	130	130
Fri Sep 30 21:17:11 2016	1475263031	0	130	130	130
Fri Sep 30 21:17:09 2016	1475263029	0	130	130	130
Fri Sep 30 21:17:02 2016	1475263022	0	130	131	130
Fri Sep 30 21:17:04 2016	1475263024	0	131	131	130
Fri Sep 30 21:17:04 2016	1475263024	0	131	131	130
Fri Sep 30 21:17:11 2016	1475263031	0	131	131	130
Fri Sep 30 21:17:09 2016	1475263029	0	131	131	130
Fri Sep 30 21:17:16 2016	1475263036	0	131	131	130
Fri Sep 30 21:17:02 2016	1475263022	0	131	131	130
Fri Sep 30 21:17:14 2016	1475263034	0	131	131	131
Fri Sep 30 21:17:09 2016	1475263029	0	131	131	131
Fri Sep 30 21:17:17 2016	1475263037	0	131	131	131
Fri Sep 30 21:17:07 2016	1475263027	0	131	131	131
Fri Sep 30 21:17:02 2016	1475263022	0	131	131	129
Fri Sep 30 21:17:13 2016	1475263033	0	131	131	131
Fri Sep 30 21:17:03 2016	1475263023	0	131	131	131
Fri Sep 30 21:17:06 2016	1475263026	0	131	131	131
Fri Sep 30 21:17:09 2016	1475263029	0	131	131	131
